TCGA	Tissue	Group	Pos	Score	IFNA1	IFNA2	IFNGR1	POLR3B	IRF3	IFNGR2	IFNE	TBK1	IFNAR1	IFNB1	TMEM173	POLR3A	IFNG	IFNAR2	IFNK	DDX58
TCGA-DU-7306	lgg	WT	0	-460.25778	0.0	0.0	10.645	8.8479	9.1228	9.1862	0.3974	9.2537	10.6643	0.0	7.6402	9.5384	0.0	8.2653	0.0	9.3799
TCGA-CM-5348	coad	WT	0	577.25745	0.0	0.0	11.3289	7.8781	10.4908	10.9546	0.8794	9.3388	11.0027	0.5057	9.8216	9.0803	1.4219	9.872	0.0	8.5734
TCGA-KL-8341	kich	WT	0	-1479.71799	0.0	0.0	9.9148	9.3024	7.855	9.3127	0.6421	9.6186	10.2488	0.6421	7.3686	8.7383	0.0	6.971	0.0	6.4941
TCGA-HT-A615	lgg	WT	0	36.97202	0.0	0.0	11.0543	8.5661	8.6692	9.8501	1.4314	9.2761	11.2159	0.0	7.8029	8.7804	0.5103	8.3293	0.0	9.3247
TCGA-55-8091	luad	WT	0	1378.72932	0.0	0.0	11.9971	7.772	9.9189	11.5707	3.0228	9.5589	11.2202	0.0	11.6844	8.2555	3.8584	9.8736	0.0	8.7104
TCGA-CJ-4904	kirc	WT	0	979.46520	0.0	0.0	11.7097	7.6188	9.2731	11.1659	1.0267	9.4116	11.682	0.0	9.6327	8.6694	2.8529	9.2292	0.3327	9.8913
TCGA-A8-A0A4	brca	WT	0	-673.58152	1.2052	0.0	9.9262	8.2372	9.7817	10.2528	0.5213	9.2307	10.4207	0.5213	9.3936	9.7745	1.2052	8.0908	0.0	10.619
TCGA-06-0174	gbm	WT	0	-622.36204	0.0	0.0	10.6398	8.2387	9.1968	10.7846	0.5891	7.826	10.8869	0.0	8.3252	8.3229	0.0	9.2157	0.0	8.0784
TCGA-CV-7180	hnsc	WT	0	-253.05576	0.6515	0.0	11.1764	8.7489	10.6079	11.1527	3.5662	8.6417	9.7143	0.0	9.0945	9.3506	3.0738	7.585	0.0	9.0455
TCGA-CJ-4907	kirc	WT	0	709.93544	0.0	0.0	10.8916	7.4919	9.5624	10.4715	0.394	9.2914	11.2954	0.0	10.526	8.6901	2.6642	9.2872	0.0	10.1014
TCGA-FS-A4F5	skcm	WT	0	-512.65705	0.0	0.0	9.6497	7.4986	9.5663	11.7458	0.0	9.4307	10.7459	0.4264	9.5827	8.5631	1.6151	8.139	0.0	8.022
TCGA-A2-A0T2	brca	WT	0	-33.55610	0.0	0.0	10.5316	8.1251	10.4416	11.957	0.5319	9.0358	11.6681	2.5617	9.8702	9.2453	3.7046	8.7196	0.0	9.4356
TCGA-BJ-A45D	thca	WT	0	47.91081	0.4595	0.0	10.2475	7.9813	11.0382	11.3071	4.1298	8.3646	10.5558	0.0	10.5315	7.672	1.5239	7.4387	0.0	7.8087
TCGA-BB-4228	hnsc	WT	0	93.91370	0.0	0.0	12.4891	8.4125	10.1225	11.2873	0.0	8.803	10.7901	0.0	11.6064	9.4012	3.3253	9.0489	0.4775	9.2634
TCGA-A7-A0DB	brca	WT	0		0.0	0.0	11.7934	8.0578	8.8143	11.3827	0.5998	9.2847	11.4515	0.0	10.0233	8.7718	0.5998	9.0319	1.6144	9.0937
TCGA-BH-A1EO	brca	Feat	768	625.36083	0.0	0.0	12.0393	7.9187	9.1571	11.6544	0.3095	9.4457	11.4231	0.0	10.2019	8.3517	2.5325	9.7281	0.0	9.3298
TCGA-86-8279	luad	WT	0	74.04719	0.0	0.0	10.2981	8.0959	10.5535	12.2325	0.3744	9.0111	11.1436	0.0	10.2332	9.4234	1.6202	9.6443	0.0	7.9838
TCGA-BP-4343	kirc	WT	0	1810.91287	0.0	0.0	12.213	7.9003	8.6497	11.8881	1.4831	10.1391	11.266	0.0	10.4624	8.0857	4.8039	9.7227	0.0	10.1142
TCGA-BH-A0E0	brca	WT	0	-608.83015	0.0	0.0	10.3255	8.3904	10.785	11.1775	0.0	9.4448	10.5056	0.0	7.7997	9.4624	0.0	8.2076	0.0	8.5861
TCGA-FG-7643	lgg	WT	0	-1092.40587	0.0	0.0	11.3097	8.0035	9.1193	9.5027	0.7868	8.9925	10.598	0.0	7.277	9.2573	0.0	7.8956	0.0	8.0789
TCGA-EW-A2FS	brca	WT	0	182.62873	0.0	0.0	10.4331	7.3556	10.0941	11.9162	3.5087	9.8446	10.5615	0.8004	9.0939	7.4504	2.7141	8.5042	0.455	10.0468
TCGA-66-2742	lusc	WT	0	513.34492	0.0	0.0	12.4304	8.05	9.8468	10.9734	0.0	9.3966	10.3417	0.0	10.0369	9.2682	2.2525	8.8893	0.0	8.2191
TCGA-B6-A0X1	brca	WT	0	551.22892	0.0	0.0	12.0174	8.9689	9.6432	10.4697	2.2645	9.7669	10.1918	4.2011	8.8884	9.4546	5.4927	8.3493	0.0	13.0178
TCGA-CS-5395	lgg	WT	0	-1073.50774	0.0	0.0	10.7336	8.9904	9.523	9.5242	0.0	8.9988	10.9575	0.0	7.1007	8.7045	0.4545	8.2022	0.0	7.5344
TCGA-95-7948	luad	WT	0	138.88034	0.0	0.0	10.5365	7.2509	10.043	11.5951	0.0	9.0425	11.198	0.4102	11.8187	8.8868	1.7236	10.0858	0.0	8.8666
