Sample	Project	Score
TCGA-CV-7100	head_and_neck_cancer	611.32527
TCGA-AQ-A54N	breast_cancer	-462.15307
TCGA-EM-A1YE	thyroid_cancer_	-994.92571
TCGA-HT-8110	lower_grade_glioma	1092.11695
TCGA-G3-A5SK	liver_cancer	420.81392
TCGA-A2-A0CK	breast_cancer	122.45340
TCGA-B6-A401	breast_cancer	431.60949
TCGA-HC-7742	prostate_cancer	-893.44971
TCGA-CV-7432	head_and_neck_cancer	10.20812
TCGA-DJ-A3VJ	thyroid_cancer_	168.60323
TCGA-50-5946	lung_adenocarcinoma	-559.22178
TCGA-CV-7238	head_and_neck_cancer	-276.10305
TCGA-GD-A2C5	bladder_cancer	854.89059
TCGA-D5-6928	colon_cancer	2530.00846
TCGA-BL-A13J	bladder_cancer	-519.27716
TCGA-A1-A0SJ	breast_cancer	-341.83283
TCGA-B0-5107	kidney_clear_cell_carcinoma	1342.77962
TCGA-CV-6954	head_and_neck_cancer	371.24569
TCGA-A2-A0SV	breast_cancer	721.39474
TCGA-BB-4224	head_and_neck_cancer	-339.22281
TCGA-E2-A1L8	breast_cancer	-103.90184
TCGA-FR-A44A	melanoma	2542.15395
TCGA-FV-A3I1	liver_cancer	217.08464
TCGA-K4-A3WV	bladder_cancer	-1311.19836
TCGA-HT-7620	lower_grade_glioma	-653.45969
TCGA-BP-5189	kidney_clear_cell_carcinoma	1334.05762
TCGA-CW-5588	kidney_clear_cell_carcinoma	1289.98380
TCGA-A3-3380	kidney_clear_cell_carcinoma	727.31475
TCGA-N9-A4Q8	uterine_carcinosarcoma_	-1282.38546
TCGA-F9-A4JJ	kidney_papillary_cell_carcinoma	112.40583
TCGA-BJ-A3PR	thyroid_cancer_	1620.73802
TCGA-BQ-7045	kidney_papillary_cell_carcinoma	193.24254
TCGA-CR-7377	head_and_neck_cancer	1490.62342
TCGA-C5-A3HD	cervical_cancer	-603.84333
TCGA-GM-A2DK	breast_cancer	332.49536
TCGA-OR-A5JP	adrenocortical_cancer	-1109.08406
TCGA-C8-A12L	breast_cancer	-202.38612
TCGA-AR-A2LH	breast_cancer	1529.79759
TCGA-MP-A4T7	lung_adenocarcinoma	760.08700
TCGA-D8-A1JP	breast_cancer	292.28429
TCGA-G9-6348	prostate_cancer	-778.16159
TCGA-86-7954	lung_adenocarcinoma	1723.87338
TCGA-CJ-4920	kidney_clear_cell_carcinoma	799.92169
TCGA-DD-A1EC	liver_cancer	1990.29377
TCGA-BP-4989	kidney_clear_cell_carcinoma	2665.22752
TCGA-D3-A51K	melanoma	748.66636
TCGA-BH-A0HA	breast_cancer	578.82736
TCGA-C5-A1M8	cervical_cancer	-462.21912
TCGA-IH-A3EA	melanoma	129.37577
TCGA-EE-A180	melanoma	-409.75900
TCGA-A4-7734	kidney_papillary_cell_carcinoma	-83.31281
TCGA-EJ-8470	prostate_cancer	672.48647
TCGA-CC-5259	liver_cancer	79.77034
TCGA-50-5930	lung_adenocarcinoma	1919.73741
TCGA-C5-A1BM	cervical_cancer	1358.63673
TCGA-WB-A81F	pheochromocytoma_&_paraganglioma	-492.07117
TCGA-A8-A06N	breast_cancer	-956.22872
TCGA-DA-A1HW	melanoma	1490.89940
TCGA-D9-A6EC	melanoma	-481.01460
TCGA-A2-A0T7	breast_cancer	-73.53045
TCGA-CA-5797	colon_cancer	-232.88977
TCGA-CR-7397	head_and_neck_cancer	595.87253
TCGA-AF-2693	rectal_cancer	43.37638
TCGA-ER-A19W	melanoma	2653.91315
TCGA-D3-A1Q6	melanoma	-104.51115
TCGA-G3-A3CK	liver_cancer	180.40350
TCGA-F4-6704	colon_cancer	161.79938
TCGA-BH-A0WA	breast_cancer	-189.19760
TCGA-BJ-A2N7	thyroid_cancer_	-955.74305
TCGA-CJ-4897	kidney_clear_cell_carcinoma	459.85195
TCGA-E2-A15T	breast_cancer	-1000.29250
TCGA-CS-6290	lower_grade_glioma	918.79405
TCGA-BP-4963	kidney_clear_cell_carcinoma	1450.76879
TCGA-ER-A19G	melanoma	1333.11713
TCGA-EM-A4FO	thyroid_cancer_	1811.88136
TCGA-AZ-4682	colon_cancer	-476.25570
TCGA-QH-A65Z	lower_grade_glioma	-1202.11742
TCGA-EK-A2R8	cervical_cancer	-34.73581
TCGA-GD-A3OS	bladder_cancer	-615.97519
TCGA-BA-5555	head_and_neck_cancer	102.29766
TCGA-B8-5549	kidney_clear_cell_carcinoma	1075.51228
TCGA-EW-A1P5	breast_cancer	512.97635
TCGA-CS-4943	lower_grade_glioma	-587.14763
TCGA-D8-A140	breast_cancer	169.18761
TCGA-EI-6917	rectal_cancer	945.72541
TCGA-CN-4726	head_and_neck_cancer	535.93125
TCGA-FC-A5OB	prostate_cancer	-1443.31287
TCGA-G3-A3CH	liver_cancer	61.57880
TCGA-BH-A18G	breast_cancer	-64.47350
TCGA-E2-A1BD	breast_cancer	-464.54124
TCGA-ED-A5KG	liver_cancer	2934.37205
TCGA-AN-A0XW	breast_cancer	1249.26965
TCGA-DB-5274	lower_grade_glioma	-235.66912
TCGA-CH-5737	prostate_cancer	-1211.33541
TCGA-55-A48Z	lung_adenocarcinoma	791.04726
TCGA-AR-A1AP	breast_cancer	362.27593
TCGA-AO-A12B	breast_cancer	-533.00991
TCGA-05-4249	lung_adenocarcinoma	1033.35673
TCGA-B0-5702	kidney_clear_cell_carcinoma	1383.72269
TCGA-A8-A095	breast_cancer	-319.46367
TCGA-EE-A2MC	melanoma	1980.03095
TCGA-DD-A39V	liver_cancer	354.16145
TCGA-CV-7252	head_and_neck_cancer	-201.30931
TCGA-CH-5750	prostate_cancer	-213.62578
TCGA-BJ-A45I	thyroid_cancer_	726.21143
TCGA-BB-7866	head_and_neck_cancer	884.91226
TCGA-A8-A075	breast_cancer	467.84548
TCGA-EL-A3CT	thyroid_cancer_	202.66982
TCGA-FJ-A3ZE	bladder_cancer	-1366.63855
TCGA-C8-A1HJ	breast_cancer	-553.39655
TCGA-62-A470	lung_adenocarcinoma	133.70372
TCGA-D8-A27L	breast_cancer	391.00069
TCGA-UC-A7PF	cervical_cancer	1420.43026
TCGA-AG-3591	rectal_cancer	-241.50612
TCGA-BH-A1EN	breast_cancer	345.96049
TCGA-N8-A4PO	uterine_carcinosarcoma_	-821.96554
TCGA-QH-A65S	lower_grade_glioma	-322.70334
TCGA-A8-A09G	breast_cancer	535.74215
TCGA-EJ-5525	prostate_cancer	-909.31049
TCGA-B0-5699	kidney_clear_cell_carcinoma	-1113.22439
TCGA-A6-6649	colon_cancer	150.11445
TCGA-DD-A73B	liver_cancer	-725.31944
TCGA-BP-4803	kidney_clear_cell_carcinoma	722.31783
TCGA-AR-A1AH	breast_cancer	-902.47899
TCGA-ET-A3BU	thyroid_cancer_	-323.68472
TCGA-FV-A2QQ	liver_cancer	285.31860
TCGA-D6-6826	head_and_neck_cancer	1184.52904
TCGA-97-8175	lung_adenocarcinoma	1120.10111
TCGA-CW-5583	kidney_clear_cell_carcinoma	194.11897
TCGA-BP-4349	kidney_clear_cell_carcinoma	570.60895
TCGA-BH-A209	breast_cancer	1858.39558
TCGA-12-3653	glioblastoma	270.76077
TCGA-AA-3492	colon_cancer	19.80666
TCGA-E9-A5FK	breast_cancer	1999.61903
TCGA-CC-A5UE	liver_cancer	-472.90815
TCGA-E2-A108	breast_cancer	2292.20521
TCGA-HV-A5A3	pancreatic_cancer	28.54683
TCGA-CN-6013	head_and_neck_cancer	1781.30382
TCGA-BH-A0AW	breast_cancer	1754.96335
